word	menukad	lex	unvocalized_lex	POS	Prefix	Gender	Number	Person	Status	Tense	Binyan	Suffix	Suf_Gender	Suf_Number	Suf_Person	fAramaic	no_pipe_menukad	no_prefix_menukad
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
שומע	שׁוֹמֵעַ	שׁמע	שׁמע	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	שׁוֹמֵעַ	שׁוֹמֵעַ
שוב	שׁוּב	שׁוּב	שוב	ADVERB												False	שׁוּב	שׁוּב
(	(			PUNCTUATION												False	(	(
שיר	שִׁיר	שִׁיר	שיר	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	שִׁיר	שִׁיר
חייל	חַיָּל	חַיָּל	חייל	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	חַיָּל	חַיָּל
)	)			PUNCTUATION												False	)	)
/	/			PUNCTUATION												False	/	/
שלמה	שְׁלֹמֹה	שְׁלֹמֹה	שלמה	PROPERNAME												False	שְׁלֹמֹה	שְׁלֹמֹה
ארצי	אַרְצִי	אַרְצִי	ארצי	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	אַרְצִי	אַרְצִי

אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
שומע	שׁוֹמֵעַ	שׁמע	שׁמע	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	שׁוֹמֵעַ	שׁוֹמֵעַ
שוב	שׁוּב	שׁוּב	שוב	ADVERB												False	שׁוּב	שׁוּב
ב|רגעי	בְּ|רִגְעֵי	רֶגַע	רגע	NOUN	PREPOSITION	MASCULINE	PLURAL		CONSTRUCT							False	בְּרִגְעֵי	רִגְעֵי
